1.1257477	-1.2136765	-1.5103359
1.055748	-1.1095963	-1.5141506
1.009285	-1.0747604	-1.4655361
0.8878021	-1.0947647	-1.3655453
0.78105164	-1.0366974	-1.2743053
0.818985	-1.180542	-1.2318249
0.9585266	-1.1871567	-1.370718
0.7852783	-1.1721725	-1.1316433
0.6744461	-1.0757217	-1.0343304
1.0766144	-1.1175308	-1.3549252
1.1713333	-1.0454788	-1.4803295
0.92329407	-1.0780334	-1.284811
1.1238556	-1.1812439	-1.3496609
0.9337387	-1.0983353	-1.2571926
1.0377426	-0.9453659	-1.4500256
1.2221756	-1.1037674	-1.4706783
1.2110672	-1.0499954	-1.4545803
1.235321	-1.1340103	-1.5046673
1.1883316	-1.0263214	-1.5838528
1.1015091	-1.1174088	-1.4774532
0.95220184	-1.1645279	-1.318388
0.9598007	-1.0247116	-1.5284863
1.0203552	-1.0851822	-1.5311108
1.092102	-0.9637222	-1.7065945
1.024025	-0.99903107	-1.6460094
1.177063	-1.0913925	-1.7251263
1.2130356	-1.0991592	-1.6686764
1.294548	-1.184578	-1.6656933
1.2476196	-0.87216187	-1.9060574
1.110672	-1.0072098	-1.7261791
1.0956726	-1.0849686	-1.6367092
1.0498276	-1.0763626	-1.5878277
0.87532043	-0.9718323	-1.5244274
1.1771317	-1.0140762	-1.753912
1.3093796	-1.0562668	-1.8108501
1.3333359	-1.0795288	-1.7401409
1.474472	-1.2490692	-1.8052883
1.4736862	-1.2129745	-1.8576946
1.4554291	-1.1775894	-1.8244
1.4824066	-1.3398056	-1.7381496
1.3419342	-1.172432	-1.7639828
1.1875381	-1.0301285	-1.7307491
1.005722	-0.9410095	-1.7290249
1.1701736	-1.0722961	-1.6472759
1.3720093	-1.1007462	-1.8261013
1.3120041	-1.3065948	-1.5665874
1.099266	-1.3498764	-1.2085857
1.1448212	-1.3755722	-1.3113384
1.0045395	-0.9821625	-1.6215038
0.85593414	-0.8984604	-1.5605373
